,Element,Occurrence Count
0,0,"[2731 2842 3521 1671 3815 3221 2205 1835 3633  906 2359 2926 1110 2350
 2730 2207 2356 2631 2676 1934  962 3678 2493  627 2623 1302 2611 1116
 1211 1235 3677 2608 3469 1422 1065  667 3090  918 3295 3088 2397  915
  122 2917 2072 2196 2904 1034  526 1786]"
1,1,"[3264 2930 2730 2787   12 1110  482 2939 2128 1934 1244 3378 2611 3450
  964 1283 3521 2175 1211 3171 3029 3743 1945 1235 2731 3340 2072 2359
 1245  667 3065 3094  588 2493 2608 1422 2923 2196 1356 2857  264  479
 2356  456 2027 2904 1258 1609 3470 1786]"
2,2,"[2919 3603  457 3090  627 3848 3633 1075  482 1683  289 1878 1110 2309
 3171 3414 2205 1191  964 1188 3221 2842 3521 1177 2207  935 2359   29
 2493 2128  949 1899 1116 2631 1302  122 3678 1065 2350  915 1422 2608
  667 1235 3469 2072 2196 2904  732 1786]"
3,3,"[1787 3679 3171 1075 2730 2842 1213 1191 1899 3677 2818 3678 2946 1065
 3712 1222  457 1878 2611   29  921  962 2128  122 1934 2359 3848 2350
 3221  627 2631 1235 2936 2493 2623 1110 2329 1116 2608 1418  482  667
 3791 1422 3469 1197 2196 2072 2904 1786]"
4,4,"[1098 2936  212 2606  904  909 1899 3259 3848  305 3717 2631 1075 1103
  555 3521 3171 1949 2207 1297 2072 2608 1227 3378 1176  318 1952 3678
 2493 1642  306 3741 2205  949 3162  993 2996    5 1448 2196  970  667
 3469  915 1422  912 2904  307 1212 1786]"
5,5,"[ 915 3374 2631 3712 2356 2966 3295 2818 3815 3087  904 2005 2842  457
  482 3521 1235  906  306 2350  949 3088 1211 2623 1422 2128 3677 1116
 1098  667 1302 1110 1065  962  212 2207 1934 2608  122 2730  910 3469
 2493 2196 2904 2072 2965  913 1034 1786]"
6,6,"[2936 1075 1934 1191 1065 3088 2356  289 3712  669 3676 2731 3848 3521
 2207 3633 3171   29 2623 1110  962 2631 2818 2128 1878 2350 2730 2359
 2493 3341 3678  457 1683 2842 3221  647  122  482 3677 2608 1235 1116
 1422  667  915 3469 2196 2072 2904 1786]"
7,7,"[ 214  949 1796 3551 2359 1878 2185 3171  964 2260 3280  646 2205  896
 3678 3468 2128 2608 3089 3306 3928 3088 2623 3521 3378 2934 2309  427
 1289 2072 3633 2611 1116   38  915 2493  667 1235 1720 2936 1422  555
 3087 3469 2290 2904 2196 1392 1786  607]"
8,8,"[3203 3270 1075 2207 2623 1177 3521 3297  306 1146 3428 2730 3088  614
 2958  744  482 2128 1212 1222 1116 2309 1912  719  667 3677 2350 2608
 1302  970 1878  962 2611 2329 1235 2493 2356 3678 1422 3750 2072 2359
 3469  161    0 2196  915 2904  456 1786]"
9,9,"[ 439  347  860  411 3171 2475 2359 2001 1947 2639 3333 3460 1499 3067
 1263  175 2493 3476  904 3632 1195 3468  993 2066 2196 2676 1418 1171
 1083 1242 3065 3521 3605 1235 2117 1191 3107  367 1422 3362 1229 2904
 1225 1579 2395 1096 1786 1209 1958 1648]"
10,10,"[2128  427 1065 3088 3097 2842 2108 3171 1677 2617 1899  904 3221 1949
 3848  944  457 1225 1249 2493 3678 1188  669 1418  214  962 2350 3521
  122 2066  482 3676 2301  677 1235 1116 2608 2359 3340  667  915 2072
 1422 3469 2196  317 2917 2904 2803 1786]"
