,Element,Occurrence Count
0,0,"[3677 2608 3469 1422 1065  667 3090  918 3295 3088 2397  915  122 2917
 2072 2196 2904 1034  526 1786]"
1,1,"[3065 3094  588 2493 2608 1422 2923 2196 1356 2857  264  479 2356  456
 2027 2904 1258 1609 3470 1786]"
2,2,"[ 949 1899 1116 2631 1302  122 3678 1065 2350  915 1422 2608  667 1235
 3469 2072 2196 2904  732 1786]"
3,3,"[2631 1235 2936 2493 2623 1110 2329 1116 2608 1418  482  667 3791 1422
 3469 1197 2196 2072 2904 1786]"
4,4,"[ 306 3741 2205  949 3162  993 2996    5 1448 2196  970  667 3469  915
 1422  912 2904  307 1212 1786]"
5,5,"[1302 1110 1065  962  212 2207 1934 2608  122 2730  910 3469 2493 2196
 2904 2072 2965  913 1034 1786]"
6,6,"[3678  457 1683 2842 3221  647  122  482 3677 2608 1235 1116 1422  667
  915 3469 2196 2072 2904 1786]"
7,7,"[3633 2611 1116   38  915 2493  667 1235 1720 2936 1422  555 3087 3469
 2290 2904 2196 1392 1786  607]"
8,8,"[1878  962 2611 2329 1235 2493 2356 3678 1422 3750 2072 2359 3469  161
    0 2196  915 2904  456 1786]"
9,9,"[3065 3521 3605 1235 2117 1191 3107  367 1422 3362 1229 2904 1225 1579
 2395 1096 1786 1209 1958 1648]"
10,10,"[ 482 3676 2301  677 1235 1116 2608 2359 3340  667  915 2072 1422 3469
 2196  317 2917 2904 2803 1786]"
11,11,"[1683  962 1191  122 2623 2359 1236  457 1235 2350 2608 1116  667 1422
 3469 2072 2196 2904  857 1786]"
12,12,"[2309 1235  667 1116 2608 2356 2329  735 2359 1422 1048 2730  915 1526
 2072 2196 3469 2904 2570 1786]"
13,13,"[ 457 1235 1116  482  212 2493  667 2818 1899 2608 1422 2395 3469 2072
 2691  915 2196 2904 2685 1786]"
14,14,"[1116 2982  289 1225 3101 3504 2794 3197  499 3469 1302 3067    5 2196
 3928  910 2904 2761  109 1786]"
15,15,"[2631 3676 2350 2207 1116  122 2359 2608 1110 1302  962 1065  667 1422
  915 3469 2072 2196 2904 1786]"
16,16,"[3099 3264 1342 1123 2493  949 2196 1211 1283 1422 2356 1747 3450 2904
 3509 2761  588 1212 1786  456]"
17,17,"[1596 3469  915  667 1422 3270 3792 2124 2247  212  305 2676 2904 2196
  595 2393 1258 2160 1786  918]"
18,18,"[1244 1297 2731    5 1306 1065 1422 1999 1188 3469 2072  305 2196 1247
 1269 1721 2904 1786  732 2986]"
19,19,"[3221 1191 1899 1878  212 1235 3633 1116 2359  915 2493 3469  667 1422
 2072 2608 2196 3752 2904 1786]"
20,20,"[1110 2842  482 2329 3677 2493 2359  457 1116 1235 2623 2608  667  915
 1422 3469 2072 2196 2904 1786]"
21,21,"[2611  667 2501 2072 2996 1899 2761 1422 2196 3808 2986 3469  305  915
 2323 2796 2904 1213 1214 1786]"
22,22,"[1217  667   44  904 1804 3264 1320  915 3469 2493 1035 2205  122 2196
 1422 2904 1264 1786 1248 1526]"
23,23,"[1065   29 1236 3360 2919  667 2676 3469 1422  289 2466 1264  915 2072
 2196 3551 2904 1673 1089 1786]"
24,24,"[ 457 1272  915 2730 2986 1422 1110  667 3469 1269 1371 1236 2196 2072
 1355 1195 2715 2904 1786 1290]"
25,25,"[ 921  627  489 1175 3087 2842 1082  214 1422  962 3295 2466  592 2725
 3090 1078 2196 2320 2904 1786]"
26,26,"[2356 2329 2725 2623 2631  122 1422 3818  921  915  667 1177 2196 3469
 2072  911 2904 2185 1251 1786]"
27,27,"[ 259 2207 1683 2787 1177  915  627 1049 2493 2907 1422  667 2072  949
 2761 2196 2904 1290 1209 1786]"
28,28,"[3340 3088 3712 1272 3061 1116 3295  161  667 2493 2623 3469 3701 1422
 2072 1197 2196 2904 1219 1786]"
29,29,"[2207 3678 2356 1116 2329 2350 2623 2359 2493 2608 1422  667 1235  915
 3469  317 2072 2196 2904 1786]"
30,30,"[ 457  962 2842 1116 2350  122  667  949 1110 1235 2730 2608  954 1422
 2072 2196 3469  904 2904 1786]"
31,31,"[1116  122 2958 3089 2356 3088  667 2493 2608 1235 3469 3071 1422 2359
  607  915 2196 2904 2072 1786]"
32,32,"[ 915 1146 2493 2350 1673  913   29 2730  929 2196  306 1102  902 1211
 3103 1299  122 1357 2904 1786]"
33,33,"[2207 2842  921  915 3469 1223 1422 1257 2359  596 2196 1065  122 2072
 3360 2323 1195 1786 2904 1967]"
34,34,"[3924 1171 1948 2493 3089 2608 1235 3029  607 2730 1422  667  910 3469
 2904 2196 2072  915 3750 1786]"
35,35,"[2329 3133 1448 3526   28 1195  993 2500  677 3103 1263 1232 3701 1422
 2904  857 1786 2715  911   20]"
36,36,"[1116 2731 2128  482  904 2623 2309 1878 2608  915 1422  457 3469 2493
 2072 2395 2196  707 2904 1786]"
37,37,"[1878 2205 2128 2731 1116 2493  962 3712 2818 2608 1422  667 1235 2676
 3469 2072 2196 2904 1392 1786]"
38,38,"[2730 2128 1116 3264 1110 2350 2818 2359 2608 1422  122  667 1235 2072
 3469 2196 2691 1126 2904 1786]"
39,39,"[2359 1934 3521  915 2623  735 1235 1110  122 1422  667 2493 2608 2072
 2196 3469 1290 1197 2904 1786]"
40,40,"[3676 2842 1116 3171 2493  289 1110 2329  482 1235  915 2608  667 1422
 3469 2072 2196 2904  259 1786]"
41,41,"[2493   57 1098  932 2300 3032 1261 1422  667 1235 1239 1225 2196 2787
  348  214 2072 3469 2904 1786]"
42,42,"[1110 2128  962 2705 3791 2207  667 3678 1302 1116  457  122 2608  915
 1422 3469 2072 2196 2904 1786]"
43,43,"[1642  915 1302 1235 2356 1912 2072 1233 1225  667 2493 3469 1422 1273
 1222  214 2196 2365 2904 1786]"
44,44,"[2608 2072 3698 2246  962 1692 1422 2723 2818 3254 2018 2196 2904 1261
  356  586 2715 3087 1786  904]"
45,45,"[1235  212 2207 2623 2128 1934 3678 3924 2842 1116 2608 2359  667  915
 1422 3469 2072 2196 2904 1786]"
46,46,"[1116 1899 2623 1191 1934 3677 2730  317 3678 1235  915  289  667 1422
 1040 3469 2072 2196 2904 1786]"
47,47,"[ 315 1422   57  456 2309 1296  479 1679 2794 1356 2493 2196 2356 3243
 1291 2027 2904 1692 1786   16]"
48,48,"[2608 2923 1422 3468  667 3469 2611 2493 2072 1369 1177 2904 2196 2907
  526 1035  594  479 1199 1786]"
49,49,"[2842  482 1191  265 2128 2350 3088  962 1116 2947  667 2359 3469 1422
 2608  915 2196 2072 2904 1786]"
50,50,"[ 667 1235 1302 1116  962 3469 2623 3158 2493 1422 2072  122 3792  915
 2196 2904 3254 1786 3113    0]"
51,51,"[ 915 2493 1116 3678 3295 1261 3019 1422    5 2818  667 2350 3469 2915
  122 2196  379 2072 2904 1786]"
52,52,"[ 921 2731 2395 2027 1692 2077  355 1027 2192 2760 1422 2079  550 1465
 1786  592  149 1609 2727 2904]"
53,53,"[3677  457 2493 2359  212 1303 1116 2842 2730 2623 2608 3469  667 1235
 1422 2196 2072 2904 1192 1786]"
54,54,"[1065  457 2728 2608 1235 2359 2350 2493 2623 1302  962 1422  667 2760
 3469 2072 2196 2904  317 1786]"
55,55,"[3677 1796 2207 2359 1235 1177 2608 1116  109 1422  667  149  317  915
 3469 2904 2196 2072  607 1786]"
56,56,"[3678 1188 2631 2128 2359 2842 3677 2350 1235 2623 1116  915 2608 1422
  667 3469 2072 2196 2904 1786]"
57,57,"[2946 2018 1422 1274  627 2527  915  292 1198 1239 1930 3087 1373 2691
 2904 1135  110 1786 2075 2761]"
58,58,"[3088  977 1952 3434 1642 3078  926  589 2196 1422 3469 2904 2466 1203
 2335 1187 1232 2608 1786 1246]"
59,59,"[2207  122  482 3677 2493 1188  902 1116  457 3094 2616  667 3678 2608
 1422 3469 2072 2196 2904 1786]"
60,60,"[2623 3678 2611 1110  915 2128 2493 1116  962  122 2359 2608  667 1235
 1422 3469 2072 2196 2904 1786]"
61,61,"[1146 1103  259 2019 3417 1262  954 3521 1171 1302 3034 3151 2904  925
 1422 2818 1211 2857   31 1786]"
62,62,"[ 457  915 2207 2608 2493 1065  667 2350 1422 3678 3469 2072 2196 2760
 1302 2711 2904 2426 2598 1786]"
63,63,"[ 214 2842  122  915 1191 1236 2709 2608 2493 1110  457 1422  667 3469
 2196 2072 2904 3577 1786 2761]"
64,64,"[2356 1177 2611  735 2794  804 1422  915 3254  289 3667 2493 2352 2072
 2196 2904 1916 2027 1786  479]"
65,65,"[3924  457 2128 1110  949 2493 1235 2623 2350 1116 2359 2608  667 1422
 3469 2196  915 2072 2904 1786]"
66,66,"[ 915 1065 1188 2676  904   81 1235  667 1083 2608 2731 1422 2072  122
  953 2196 1677 2904  907 1786]"
67,67,"[3221  627 2493  306 3469 1191 1116 2689  915 1499 3670 1302  667 2608
 1422 2072 2196 2904 1786 2761]"
68,68,"[2919  915  214  122  667   57 3928 1191 3096  289 1182 1235 2608 3469
 2072 1422 1746 2196 2904 1786]"
69,69,"[2175 1934  962 2493 3678 2207 3173 3750 2608 3088 2359 1235  667 1422
 3469 2196 2072 2904 2857 1786]"
70,70,"[ 627 2350  482 1116  122 2128 1188 2493  915 2608 1948  667 2623 1422
 1197 2072 3469 2196 2904 1786]"
71,71,"[3088  669 2207  586 1116 3677  949 2493 3752 2359 1422  915 2608 3896
 3469  667 2072 2196 2904 1786]"
72,72,"[1110 1908  667 2611 1116 1222 3340 2072 1526  670 1422 2196 2722 2623
 1147 2790 2698  915 2904 1786]"
73,73,"[3678 2493  289 1116 2728 1302   35 2350 3469 2541 2608 2623  667 2196
 1422 2356 2072 1251 2904 1786]"
74,74,"[2205 2730  964  962 3603  499 1683 3060 1110  951 2207  551 3113  457
 2072 2196 2676 3174 2904 1786]"
75,75,"[3928  744 3791  667 3469 2611  915 1422 1088 3146 2196    0  292 2288
 2904 2072 2761 1786  607 2958]"
76,76,"[2350 2175 3678 3088 3469 2356 1236 1235 2359  915  667 2493 3577 1422
 2196 3750 2072 2904 1786 2857]"
77,77,"[3678 2999  667 1116 1216 2175 2359 1264 2493 1422 2072  915 1448 2196
 3113  550 2904 3469    0 1786]"
78,78,"[3848 2623 1899 2608 1930 1235 1116  949 1110 2359  962 1422  667  122
 3623 3469 2196 2072 2904 1786]"
79,79,"[ 457 1222   29  949 1930 2730 1110 1422 2608 2329 2309  915  667 3469
 2072 2196 3146 2904  526 1786]"
80,80,"[ 122  744  669 3469 3078 2842 1422 1259 1899 3029 2196  667 1235  915
 2329 2608  295  911 2904 1786]"
81,81,"[2608  667  555  669 1176 2982 1422 2857 2072 2356 2570 3754 2818 2196
 3469 1269 2904  295  592 1786]"
82,82,"[2608 1448 3078 2818 1878  457  970 2389 2356 1235 2493 1422 2709 2196
 2335 2072 2395 2904 1786 2958]"
83,83,"[ 915  667 3088 1116 2923 1422  479 1177 3677  904 2608 3469  456 2196
 2072 2904 1214 1786 1196  109]"
84,84,"[ 962 2623 3678 2842 3509  122 2359 1235  482 1116 2608  667 3408  915
 1422 3469 2072 2196 2904 1786]"
85,85,"[2493 1065 2329 1110  363 1116  122 2350 2676  915 2608 1235 1422  667
 3469 2072 2196 1720 2904 1786]"
86,86,"[1418 3791 2842 1236  482 2175 2493 1235 1290 2608 1177 1422 3469  667
 2072 2196 2904 1195 1786  479]"
87,87,"[1235 3677 1222 3468 2359 1930 3791  921 3469 2493 1746 1197 2072 1422
  953 2196 2904  607 1786 2027]"
88,88,"[2623 2128 2842 2359  122 1116 2350 3678 3088  915 1422  667 2608 1235
 3469 2072 2196 2904  732 1786]"
89,89,"[ 245   33 3521  915 3469 3868  366 1804 3712 2175 2943 2493  667 2196
 2072 1422 2207 2904 2761 1786]"
90,90,"[2128 1422 2631 3848 2356 1110 2608  289 2329  667 3034 1235 2818 2072
 2196 2904  909 1275 3469 1786]"
91,91,"[3521 2124 1422  356  904  804 1249 2196 2670 2762  949 1565  169  740
 1072 2803 2422  732 2904 1786]"
92,92,"[1671 3264 3468 2072 1235  667 2608 1319 2309 3469  744 2623 1422 2493
 2904 1214 1609 2196 2796 1786]"
93,93,"[2730 3678 2842 3677 2623  915 1257 1110 2493 1116 1235 2608  122  667
 1422 3469 2072 2196 2904 1786]"
94,94,"[3128  289 1499  667 3712 2493 2858 1235 2623 3469 2489 1422 1579 2072
 2196 2946 1195 1192 2904 1786]"
95,95,"[3553 1146 3221 2128 3678  149  482 1235 2608 1422 1110 2623 2027 2072
  355 2196  259  456 2904 1786]"
96,96,"[ 669  915  941  905 3171  942 1098 2196 1422 1065  944  259 2356  904
 1220 2904  592  918 1786  919]"
97,97,"[2350 2356 3088 1116 2359 2128 3341  647  122 1235 2608 1422  667 3469
  915 2072 2196 2904 1786 2027]"
98,98,"[2623 1110 1360 2818  921 2493 1302 3784 2598  122 2611  555  915 1422
  667 3469 2196 2072 2904 1786]"
99,99,"[1235 3521 3171 2128 1614 1116 2205 2608  667 1422 3469  259 1209 2027
  915 2072 1953 2196 1786 2904]"
100,100,"[3469  122 3791 2359  289  669 1110 1236 1422  667  735  915 2196 2072
 1195 2904  259  588 1786 1579]"
101,101,"[ 667  964 2065 1261 3469 2207 2946  962  930 3750 1422  904 3407 2072
 2760 2196 3174 2904 1786 2986]"
102,102,"[1875  667 3090 1098 2818 3469 1948  214 2018 2493 1422 1609 2072 2196
 1916 3667 2904 2790 3752 1786]"
103,103,"[3521 3678 1065 1116 3089 1235 2623  962 2356  212  667 2608 1422 3469
 2072 2196 2354 2904 2857 1786]"
104,104,"[2493 2128 3791 2608 1209 1422 3090 2072 1303  554 2528 1373 1222  744
 2196 2027 1213 2904 1786 1290]"
105,105,"[2493 1295  910  667  898 1422 3434 2608  932 1187 1235  904 2019 2196
 2072 3469  915 1306 2904 1786]"
106,106,"[ 949 1191 2982  919 1422  667 1683 3087 2207  922  909  915  950 2072
  592  944 2196 2904  259 1786]"
107,107,"[ 457 2128  214  289 2623 2493 2005  482 2608 3677 1116  122 1235 1422
  667 3469 2072 2196 2904 1786]"
108,108,"[3096 1948 2842  372 2623 3818  122 1277 3174 3469 1422 2207  941 2114
 1235 1197 2072 2196 2904 1786]"
109,109,"[ 931 1177  915 1236 2623 1116 2493 3924 2359 2608 2072 3469  667 1235
 1422 2196 2904  607 1212 1786]"
110,110,"[ 951  669 3078 1116  915  528 2608 2018 2493 1422  667 2072 2685 2761
 1899 3469 2196  295 2904 1786]"
111,111,"[2611 2730 2631 3712 1147 2623  667 2350 2493 1292 1065 1422 3469 2072
 1302  921 2196 2904 1251 1786]"
112,112,"[2631 3288  482  122 3792 3678  904 2731 1235 2608 1422 2623 3469 2072
  667 2196 2904  526 3480 1786]"
113,113,"[3677  289  949 2611 2493 2623 2359 1235 2842  667 3678 3750 1422 1098
  915 2072 2196 3469 2904 1786]"
114,114,"[2608 2493 2329 1225 3677 1543  667 1302 2350 3678   69 1422 2359 3469
 3792 2196 2072 2904 2790 1786]"
115,115,"[1934 2923 3521  667  457 3848  949 2359 2493 1422 2676 1796 1257 3469
 2608 1235 2196 2394 2904 1786]"
116,116,"[1271 1291 3468 1253 1216  292 1256 2136 2196 2115 1422 1232 1273 2904
 3434 1100 2018 1786 2570  222]"
117,117,"[1247  953 1422 1236 3034 1233 2196 2857 2965  667 1271 2072 2923 1235
 2904 1199 1786 1290 2027 2570]"
118,118,"[3469 2842  962 2934 2072 2936  307 2730 1261 2207  915 1422 2196 1302
 2722 3947 2760 2904 3113 1786]"
119,119,"[2842 3295 3677 3469 3133 2936 1235  915 1225 2493 2072 1422  667 1899
 2608 2196 2904  295  526 1786]"
120,120,"[2982 2072  289  667 1191 2528 3280  214 3702 3469 3701 1422 1373 1197
 1579 2196 2904 1583 2570 1786]"
121,121,"[ 212 2356 2329 2608 2359  667 2027 1177 1220 3469 1422 1235 1209 1199
  915 2196 2072 1195 2904 1786]"
122,122,"[2493 2196 1422  949  914 3071 2761 2301 3521 3171  379 2948 1096  627
 1930 1091 1786  355 2904 1343]"
123,123,"[ 482 3633 2623 2309 1116 2493 3678 1177 1093 2608 2359  667  915 1422
 1212 3469 2072 2196 2904 1786]"
124,124,"[1407 3264  921 1191 1422  667 2072 1235 2493  647 3469 3702 2946 1386
 2196 2904 1609 1911 1786  479]"
125,125,"[2329  929 2730 3088 3577 2608 2493 2185 1422 3469  457  667 1209 1187
 1235 2196 2072 2904 2019 1786]"
126,126,"[ 507 1110 2669 3070 2207 2359 1407 2493 1422 3892  627 3896 2072 2196
 3577  915 2904  588 2027 1786]"
127,127,"[2128 1191  962 2493  482 2623 1235  457 1116 2608  667 3678 1422 3469
  915 2072 2196 2904 1249 1786]"
128,128,"[ 555 3340 2608  372 2623 1231 1422 1912 2072 1235  915 1572 3469 1209
 2196 2904 1264  732 2570 1786]"
129,129,"[1249  667 1211  915 2329 2947 2359 3782 1422 1999 2196 1177 3467 2943
 2904 1616 1786 1199 1195 1209]"
130,130,"[3678 1235 1422 3097 1236 1648 2676  161 3333 2196 2018 1199 1239  550
 1196 2904 1223 2063 2394 1786]"
131,131,"[ 667  949 2919 1967 2999 2608 1146 1302 1244 2072 2196  915 1260 3469
 1516 1256 2904 2803 1135 1786]"
132,132,"[1222 1065 2493 1448 1285 3295  667 1116 2359   29 1422 1123 2196 2072
 2598 1096 2904 1270 3147 1786]"
133,133,"[1235 3677 3089 1949 3469 1116 2466 2676 2493  667  915 3088 2608 3752
 1422 2072 2196 2904 2857 1786]"
134,134,"[3924 2350 2072 2608 2335 2493  667 2769 1422  122 1222  962 3469 2354
 3158 2196 2682 2904 1786 3174]"
135,135,"[1116  667 3469 3240 2493 1098  923 1224 3088 2129 1912 1422 2072 2196
 1614 2904 2656 1951 3470 1786]"
136,136,"[1683 1177  667  214 1236  482 2623 1191 3341 1948 3469 1422 2072 1235
  921 2359 1930 2196 1786 2904]"
137,137,"[ 921 2728 2725  964  555 3088 1235 2623 1422 2196  667 3469 2072 1911
 3434 2904 3480  317 1786 2857]"
138,138,"[2870 2608 3199  305 2493 1110  540   42 2858 2196 1422 1235 2917 1302
 3924 1207 1147 3469 2904 1786]"
139,139,"[1110 2608 2842 2934 1422   29  929 1235  941 3469  667 3434 2196 1268
  122 2072 3480 2904  927 1786]"
140,140,"[3848  962  122  941 2842 1116 1235 2493  482 2608  667 1177 3677 3469
 1422 2196 2072 2904  479 1786]"
141,141,"[3633  289 3677 3678  457 2623 2842 1116  482 1235  915  259 2608 1422
  667 3469 2072 2196 2904 1786]"
142,142,"[2818 1236  910  915 2207 2682 2730 2309  457 1302 2705 2608 2761  667
 2072 3469 2196 2904 1786 2570]"
143,143,"[2493 2128 2730 2207  555 1098 1110 2350 2608 1934 1422 1235  667  915
 3469 2072 2904 2196 1786 3407]"
144,144,"[2493 2631  962 3088 3678 2359 1116 2842 2623 1235  915 2857 3469 2608
 1422  667 2196 2904 2072 1786]"
145,145,"[3243 1130 2196 1465 2207 3264 1634  964 1229 1184 3734 1252 3670  919
 1298 1230 1786 3407 3544 1085]"
146,146,"[2623 1241 1526 2691  667 3469 2787 1422 2493 2329  627  555  915 2196
 1232 2072  317 2904 2762 1786]"
