,Element,Occurrence Count
0,0,[ 21  13  22  35 299 223  44  24 403  23]
1,1,[133 116 134 933 496 115 277 118 120 629]
2,2,[114  47  29 400  38  12 116  17  58  63]
3,3,[148  63 116 118 150 114 227  17  58 115]
4,4,[212 744 241 394 186 225 348 344 268 266]
5,5,[ 300   13 1820  303  304  301  299  510  305   24]
6,6,[632 133 316 137 933 325 120 134 272 277]
7,7,[ 331  364 1549  365   50   58   17  189   45   47]
8,8,[ 47  17 115 364 114 335 214  58  72  22]
9,9,[   4  486 1062  564  401  468  775  523  458   12]
10,10,[681 113 223 394 110 486  32  72 253  27]
11,11,[ 310  274 1290   44   63   47  203  314   14  400]
12,12,[508 794 138 272  86 137 496 514 133 134]
13,13,[ 114 1726  187   82   17  186   47  108   15   29]
14,14,[468 702 631 503 564 117 685 522 145 110]
15,15,[1147  180  716   29  178  668  181 1367  715  177]
16,16,[451 272 744 874 134 243 770 496 366 397]
17,17,[776 493 305  24  23 639   3 300 299 282]
18,18,[194 449  36 848 504 305   3 849 403 300]
19,19,[114  17  48 195  14 253  82 373  47  58]
20,20,[848 757 403 300 305 299 296 493  23 194]
21,21,[ 806  983  549  503 1083  916  568  952  912  954]
22,22,[253 589 186 221 167 219 223 394 296 113]
23,23,[   2  336   93  189  565  339 1073 1062 1053   45]
24,24,[1369  542  947  539  942  522  804  407  540  503]
25,25,[ 516  104  958  492 1044  171   32  510    4 1047]
26,26,[754 400 421 416  63 729 432 177  25  12]
27,27,[  77   25   47   65   71   84  398  214  341 1127]
28,28,[322 319 133 277 321 272 316 627 496 134]
29,29,[336 396 161 108 261  45 214 235  47  50]
30,30,[ 488  449   27  376  110  281  436  288 1047   24]
31,31,[116  47  29 988 208 206  14 114 108 203]
32,32,[148 312 898  78  74 151 248  71 283 760]
33,33,[ 583  964  648 1317  965  567   41  962  969  580]
34,34,[1127   14 2246   61  108 1361   13   84  314 1270]
35,35,[683 258 325 366 114 116 691 933 120 272]
36,36,[ 236  376   26  681  449  458 1080    2  277  110]
37,37,[ 686   47  298  468  110  564    2  980  610 1313]
38,38,[  15 1147  389  178  380  666  186  654  972  667]
39,39,[ 427 1195  788   65  638  400  274   13   63   12]
40,40,[247 866 187 876 296 108 305 875 299 110]
41,41,[628 511 277 627 496 924 272 642 325 645]
42,42,[ 172  178 1911  660  167 1147 1367  171  662  661]
43,43,[751 171  63 425 474 758 894 312  12 421]
44,44,[1058  564  466  110  681 1313  298 1078  980  468]
45,45,[1218 1817 1628 1670  884 1467 1463  885  883  875]
46,46,[1195  314   45   65   63   50  206   47   14   17]
47,47,[288 326 137 133 272 134 496 120 277 325]
48,48,[1576  514  496  131  272  627  924  328  522  316]
49,49,[ 85  47 195   7 348 370  35 378 315  82]
50,50,[ 72 160  37 113 296 186 247 394 589 300]
51,51,[528 634 328 557 617 407 377 942 803 145]
52,52,[ 421   12  988  203   50   14  416  894   63 1019]
53,53,[ 656  425  113 1050  273  125  376  417    4  489]
54,54,[ 29 214 223 396  34 206  22  45  50 296]
55,55,[933 123 214  29 120 263 114  17  58 115]
56,56,[1247  677  379  623  195   47  315  619  370   82]
57,57,[236 751  12 421  98  71  16 930 470  63]
58,58,[ 414  177   61 1494   13 1730  302 1199   26  274]
59,59,[109 253 256 133 110  37  99 618 681 713]
60,60,[ 373  199 1244 1421  379 1286  370  311   82  195]
61,61,[ 605  645 1014  629  326  488  470  272  288 1009]
62,62,[ 315  188  604  158   34 2010  195  194   47  824]
63,63,[115  40 195 133  58  12 116 114  63 134]
64,64,[933 160  17 114  29   7 296 116  82 120]
65,65,[1247  410  654   82  145  404  411  133  134  407]
66,66,[ 403 1051 1296 1205  442  788   78 1204 1569   65]
67,67,[1189  376  681  113  108  455   15  278  247  227]
68,68,[ 688 1589   97  348 1933  354   86  594 1287  749]
69,69,[ 82 919 667 178 713  29 666 284 380 654]
