,Element,Occurrence Count
0,0,"[ 485  515  493    9  776  613   29   45   10  236   58   26   33  269
  860 1484  394   19  442   20   76  305  214  160   32    8 1301  420
   30  296   47  848   16   36   25    4    3   18  453 1307   21   13
   22   35  299  223   44   24  403   23]"
1,1,"[1576  793 2057   45  289  542  323  488 1619  288  336  788  374  508
  685  371  632  108   86  316  322  522  628  514  869  326  627  319
  117  313  137  114  694   17   58  138  325  321  464  272  133  116
  134  933  496  115  277  118  120  629]"
2,2,"[ 130  497  155  158    4   76  786  514  149  243  207  421  125  123
  751  169  110  336  206  120   86 1188  604   45  133  208  113  787
  203  310   73 1211   50  134   40    9  115   14  128  146  114   47
   29  400   38   12  116   17   58   63]"
3,3,"[ 933  277  332  436  447  836  430 1009  790   38  421   82  313  134
  451   98  864   15  151  463  759   28  930  497  319 1211  241 1212
  130   12  128  629  786  149  120   40  788  787   74  751  148   63
  116  118  150  114  227   17   58  115]"
4,4,"[ 678 2164 1839  188  749 2315  263  740 1110  364  253  247  366  236
  249  230  618  240  238  437  477  189  269  452  349 1060  604  272
  971  239  591 1418  114  256  118  398   31  252  264 2482  212  744
  241  394  186  225  348  344  268  266]"
5,5,"[1292 2026  203 3326 1494  293   57 1102 1730  849 1359 1457  286   36
  404   34  306  308 1459   45  448 1199  449  408   47  485  296  160
 1355  223 1652  410  776 1356  282 1731   26  108   21 1966  300   13
 1820  303  304  301  299  510  305   24]"
6,6,"[ 424  626  631  508  932  143  797  328  241  320  937  630  371  514
  323  155  131  116  117  119   58  319  685  675 1576  114  627  313
  496  464  322  118  694  321  115  326  138  629  628  869  632  133
  316  137  933  325  120  134  272  277]"
7,7,"[ 701  369  333 1077  278 1933  270  397 2020   62  389   14  345  514
   99 1589 1005   22 1011  330  354 1060  697  356   97   72  687 2144
  688  459  749  338  321   86  336  367  348  206  214    2  331  364
 1549  365   50   58   17  189   45   47]"
8,8,"[ 189  319  113  398   56    2   62  243  271   29  203  340  334  348
  223  396  361   60  116   45  108  345  330  356   97  629   14  263
  296 1418  206   86  397  118  236  278   50  678  253  344   47   17
  115  364  114  335  214   58   72   22]"
9,9,"[ 514  133  508  536  409 1091   38   35  558  563  496  146  281  473
  441 1078  541  577  117  524  136  393 1061  754  549   63  978  478
  110   24  503   27  501  522  526  999 1058  499 1412   25    4  486
 1062  564  401  468  775  523  458   12]"
10,10,"[ 269  589  699  594  160  980  158  600    4 1171   35 1289  171 1418
  690  639  108  404  588  862  775  931  282  613 1041   14   47  376
  618 2023  247  861  296  393   37  186   76 1519  300  473  681  113
  223  394  110  486   32   72  253   27]"
11,11,"[ 336 1195 1794  623  786  638   15 1454  758    8 1183 1717   89  461
 1180  414  621   17 1188    9 1561   48   54 1371 1178  208   45   13
   61   50  455  374   12   66 1186  206   11  785   38  152  310  274
 1290   44   63   47  203  314   14  400]"
12,12,"[ 626   17   13  632 1028  325  924 2058  536  194 2132  316  128  145
  713  788  645   28  470  288  539  630  627 1576  140   58  629  870
  542  643  478   40  326   12  642  505  868  155  117  490  508  794
  138  272   86  137  496  514  133  134]"
13,13,"[ 196  177  416  675 1386  512  296  167  356  884  666  179  654  227
  194  972   38  116  311   60   58  195  206  400  169  188  389   63
   50  158  208   45  189  203   34   14   12  380  336  342  114 1726
  187   82   17  186   47  108   15   29]"
14,14,"[ 634 1551  358  975  528  980  541  866 1080  401 1273  704  272  698
  576 1136  696  311  627  458  690   47  557  459   86  377 1391  319
  133  143  978  134  137  457  316  628  101  323 1081  692  468  702
  631  503  564  117  685  522  145  110]"
15,15,"[1894 1916  186  670 1688  187  665  183 1817  194  323 2484  667  167
  188 1023  174 1421  669  713  108 1901  172  919  184  654  507  179
 1420   82 1422  389  380  512  171  972  717  666  284 1310 1147  180
  716   29  178  668  181 1367  715  177]"
16,16,"[ 750  490  645 1425  424  522  870   90  996  764  513  868   40  765
  495   88  777  766  477  767  430  147 1029  642  761  760  479  114
  508  768  911 1214  689  180  316  133  155  762  116  627  451  272
  744  874  134  243  770  496  366  397]"
17,17,"[ 517  223  914  668 1312   63  926  194  861  923  849   33   12 1562
  838  533  851  847  506  403   36  536  854 1339  846  774   40  853
  304  852  515  800  453  485   25  160  474  483  500  449  776  493
  305   24   23  639    3  300  299  282]"
18,18,"[ 847  854  114  130   26   40   47  855 1247  312  134   38   73  639
  493 1555   34  485  851  853  116  776   12  304  404  296   13  515
   21  453  188   24  282  668   23   31  483  160  299  463  194  449
   36  848  504  305    3  849  403  300]"
19,19,"[ 97 269 380 120 348 223 256 133 263 227 214 236  50  63  72 336 699 145
  35 105 296 389 158 208 370 917 134  45 115 203 167 206  73 110 379 113
 116 623 315 382 114  17  48 195  14 253  82 373  47  58]"
20,20,"[  40  915  758  370  114  128  404  116   13 1958  500  776  853 1555
  733  449   63   36  533   31  716  914  483  639  847  282  160  849
  485  515   25  188  923    3  453   34   12  504  846  852  848  757
  403  300  305  299  296  493   23  194]"
21,21,"[1053 2103  959 1411 2550 2527  126 1085 1082  157  999  686  555 1505
  653  872 1139  117 1119 1309  699  532  812  981  648  480  534  457
  978 1091 1074  984  557  571  458  910  963  702  804  928  806  983
  549  503 1083  916  568  952  912  954]"
22,22,"[ 629  228  681  388  110  160  315  393 1110  269  356 1374  106  300
  618 2164  114  116   34  112  203  233  107  268  404  513  243 2068
  256 2287  202  225  158  238 1418  188  108  100   37  247  253  589
  186  221  167  219  223  394  296  113]"
23,23,"[1759   48   72  214  595    6    7   17  697   86   97 1059  440 1061
 1553  547 1820  704  365   50 1405  401 1685 1132 2607   82 1038   14
 1752  397  695  541 1412 1396  459 2020  514   47  367  206    2  336
   93  189  565  339 1073 1062 1053   45]"
24,24,"[1036  555  296  168  840  654 1642 2183  722  813  655  805 1033  133
  514  945 1448 1394  309 1443  708  999  877  986  824  648  940 1370
  823 1441  556 1440  828  721 1068  478  499  585 1024 1430 1369  542
  947  539  942  522  804  407  540  503]"
25,25,"[ 273  950   63  960  957  777  498  899  282  401  501  488  956  443
  931  486  376  868   76  286  113  420  289  284   20   38  139  611
  281  436 1022   16  523  194 1050 1049 1043   27  535 1330  516  104
  958  492 1044  171   32  510    4 1047]"
