,Element,Occurrence Count
0,0,"[2678, 2292, 703, 1058, 308, 3084, 898, 836, 288, 644]"
1,1,"[2678, 2292, 703, 1058, 3042, 3084, 898, 836, 1262, 3176]"
2,2,"[2678, 703, 2537, 1058, 2292, 836, 1826, 49, 308, 442]"
3,3,"[2678, 703, 2292, 1058, 308, 836, 3084, 898, 2537, 3042]"
4,4,"[2678, 3042, 2292, 1058, 3084, 3176, 703, 796, 1826, 1082]"
5,5,"[2537, 2678, 703, 644, 838, 2292, 1109, 2911, 2350, 2981]"
6,6,"[2678, 703, 2292, 1058, 836, 308, 1826, 3084, 2537, 898]"
7,7,"[2678, 703, 1058, 2292, 308, 836, 1826, 3084, 3042, 49]"
8,8,"[2678, 2292, 3084, 836, 1826, 3042, 898, 1262, 3176, 840]"
9,9,"[2678, 2292, 644, 703, 1109, 838, 308, 288, 3084, 2981]"
10,10,"[2678, 2292, 703, 1058, 3084, 898, 1109, 836, 288, 644]"
11,11,"[2678, 1058, 703, 2292, 308, 3042, 1826, 3084, 836, 3176]"
12,12,"[2678, 2292, 1058, 703, 3084, 3042, 898, 836, 1262, 3176]"
13,13,"[2678, 2292, 1058, 703, 308, 3084, 3042, 836, 898, 1826]"
14,14,"[2678, 703, 2292, 1058, 836, 1826, 3084, 3042, 898, 1262]"
15,15,"[2678, 2292, 703, 308, 1058, 3084, 898, 1109, 836, 644]"
16,16,"[2678, 2292, 1058, 703, 3084, 898, 3042, 836, 1109, 1262]"
17,17,"[2678, 2292, 308, 1058, 703, 3084, 898, 644, 288, 836]"
18,18,"[2678, 703, 1058, 2292, 836, 308, 1826, 49, 3042, 3084]"
19,19,"[2678, 703, 2292, 1058, 308, 836, 3084, 1826, 898, 3042]"
20,20,"[2678, 1100, 252, 1826, 796, 1103, 703, 1058, 836, 2292]"
21,21,"[2678, 3042, 2292, 1058, 703, 3084, 3176, 1826, 836, 898]"
22,22,"[2678, 1100, 1826, 3060, 1103, 2719, 2137, 2723, 2721, 2292]"
23,23,"[2678, 2292, 703, 1058, 3084, 898, 1109, 836, 644, 288]"
24,24,"[2678, 1058, 2292, 703, 308, 3042, 3084, 836, 1826, 898]"
