,Element,Occurrence Count
0,0,"[2678, 2292, 703, 1058, 308, 3084, 898, 836, 288, 644, 1262, 1826, 49, 840, 3042, 1150, 51, 1162, 1114, 862, 3057, 2147, 2796, 3176, 886, 2981, 1125, 3056, 352, 2506, 1100, 1135, 3209, 1057, 1517, 576, 738, 1082, 2955, 796, 1105, 708, 650, 953, 843, 2100, 2114, 838, 848, 1434]"
1,1,"[2678, 2292, 703, 1058, 3042, 3084, 898, 836, 1262, 3176, 1826, 684, 840, 644, 49, 1150, 854, 1082, 288, 2537, 51, 1114, 845, 1162, 862, 796, 708, 512, 1167, 352, 1057, 3209, 252, 3057, 886, 2147, 2506, 738, 1517, 2150, 2955, 1152, 1992, 2981, 2501, 2853, 3056, 1125, 2697, 2008]"
2,2,"[2678, 703, 2537, 1058, 2292, 836, 1826, 49, 308, 442, 3084, 288, 3042, 898, 1262, 3365, 2356, 2840, 1114, 963, 1162, 1469, 3060, 840, 684, 2721, 2719, 1109, 2720, 1140, 1991, 2024, 1120, 644, 243, 796, 459, 2137, 1150, 2723, 3245, 572, 3176, 897, 838, 3010, 708, 1103, 3109, 3357]"
3,3,"[2678, 703, 2292, 1058, 308, 836, 3084, 898, 2537, 3042, 1826, 49, 1262, 1109, 288, 840, 644, 684, 1150, 1114, 1162, 3176, 862, 51, 3365, 512, 2796, 1082, 796, 3057, 708, 576, 2147, 886, 854, 1125, 1135, 3056, 1167, 845, 2506, 3209, 835, 2955, 2981, 352, 1517, 838, 2840, 1992]"
4,4,"[2678, 3042, 2292, 1058, 3084, 3176, 703, 796, 1826, 1082, 854, 836, 898, 252, 1262, 708, 684, 1096, 1123, 2501, 51, 1152, 1114, 1154, 2150, 1100, 1167, 1162, 855, 1109, 1119, 2796, 1098, 1135, 288, 2008, 3056, 1057, 1148, 2898, 2853, 3412, 1106, 644, 3055, 3257, 2789, 1517, 2697, 1051]"
5,5,"[2537, 2678, 703, 644, 838, 2292, 1109, 2911, 2350, 2981, 308, 288, 1058, 898, 843, 836, 2840, 1006, 3084, 3245, 650, 862, 482, 49, 1931, 851, 512, 953, 442, 2024, 1991, 524, 848, 886, 1617, 849, 1262, 837, 2147, 1150, 143, 1159, 565, 1171, 3098, 3057, 1769, 840, 3365, 2514]"
6,6,"[2678, 703, 2292, 1058, 836, 308, 1826, 3084, 2537, 898, 49, 3042, 1262, 1100, 1109, 288, 840, 684, 1114, 644, 1150, 1162, 252, 3176, 3365, 796, 51, 2796, 708, 862, 512, 3056, 1082, 1135, 854, 835, 3057, 2840, 1125, 576, 1167, 2147, 845, 886, 838, 2506, 3209, 1154, 352, 2955]"
7,7,"[2678, 703, 1058, 2292, 308, 836, 1826, 3084, 3042, 49, 1100, 898, 1262, 252, 684, 3176, 288, 796, 2537, 1109, 1114, 1150, 1162, 1082, 708, 51, 644, 2796, 1135, 3056, 3365, 854, 1096, 1154, 576, 1125, 845, 1167, 1123, 1098, 3057, 2501, 2506, 835, 2147, 2150, 2789, 1517, 3209, 2955]"
8,8,"[2678, 2292, 3084, 836, 1826, 3042, 898, 1262, 3176, 840, 796, 252, 1082, 1109, 288, 1150, 1100, 708, 1114, 51, 1162, 1096, 854, 644, 2796, 3056, 1135, 1154, 2150, 845, 1167, 2501, 1152, 3057, 1517, 2506, 1119, 3209, 1057, 2955, 2147, 2853, 2789, 352, 3257, 855, 2008, 2898, 2804, 2697]"
9,9,"[2678, 2292, 644, 703, 1109, 838, 308, 288, 3084, 2981, 898, 2911, 2350, 836, 843, 862, 1006, 1527, 2840, 49, 650, 512, 482, 2147, 1262, 3245, 1617, 442, 848, 953, 837, 2024, 3057, 1991, 352, 840, 1159, 1335, 684, 565, 3365, 2506, 1826, 1756, 1125, 3098, 16, 51, 2514, 865]"
10,10,"[2678, 2292, 703, 1058, 3084, 898, 1109, 836, 288, 644, 1262, 1826, 684, 3042, 840, 1150, 51, 352, 2147, 3057, 1057, 2506, 3176, 886, 3056, 3209, 2796, 738, 1517, 1125, 1114, 1162, 512, 862, 1082, 1135, 2981, 1105, 1096, 2100, 252, 2150, 2853, 2605, 796, 123, 542, 1434, 2955, 1756]"
11,11,"[2678, 1058, 703, 2292, 308, 3042, 1826, 3084, 836, 3176, 252, 898, 49, 1262, 684, 1082, 708, 840, 288, 854, 1114, 1150, 1162, 1109, 51, 1154, 1135, 3056, 2796, 1835, 845, 1115, 644, 2501, 1167, 2150, 1152, 1098, 286, 1119, 2789, 855, 2008, 2537, 1106, 1125, 1057, 1517, 3257, 2853]"
12,12,"[2678, 2292, 1058, 703, 3084, 3042, 898, 836, 1262, 3176, 1826, 684, 1109, 840, 1082, 1150, 854, 51, 796, 644, 288, 845, 1114, 708, 1096, 1057, 1167, 352, 2150, 2796, 3209, 738, 2506, 1517, 2501, 2147, 3057, 3056, 1152, 862, 2853, 2955, 1135, 2697, 1119, 886, 2605, 855, 1154, 542]"
13,13,"[2678, 2292, 1058, 703, 308, 3084, 3042, 836, 898, 1826, 1262, 3176, 684, 840, 49, 1082, 796, 1109, 252, 1150, 51, 708, 288, 1114, 854, 1162, 1096, 1100, 644, 845, 2796, 1167, 2150, 3056, 1135, 1154, 2501, 1057, 1152, 576, 3209, 1517, 2506, 1119, 2853, 352, 3057, 1123, 2955, 2147]"
14,14,"[2678, 703, 2292, 1058, 836, 1826, 3084, 3042, 898, 1262, 252, 684, 3176, 288, 840, 796, 1109, 1082, 1114, 1150, 1162, 708, 644, 51, 1135, 2796, 3056, 3365, 1154, 854, 1167, 1123, 845, 1125, 1098, 3057, 835, 2955, 2506, 2150, 2501, 1152, 2147, 2789, 2008, 3209, 1517, 1134, 1106, 862]"
15,15,"[2678, 2292, 703, 308, 1058, 3084, 898, 1109, 836, 644, 288, 1262, 684, 49, 840, 1826, 1150, 3042, 2537, 51, 886, 2147, 3057, 862, 352, 2506, 2981, 512, 1114, 1162, 3209, 3176, 1057, 2796, 1517, 1125, 738, 3056, 1105, 953, 1082, 1100, 2100, 1135, 576, 2955, 1756, 2150, 252, 2605]"
